Text,text_english
semkain yakin dukung ganjar mahfud,increasingly confident in supporting Ganjar Mahfud
cukup pak,enough sir
hasto aja harap dukung jokowi siiiaann bener,"Hasto, please support Jokowi, it's really true"
sejak era reformasi beringin angker waris orba mulai nampak panas reformasi main aman ada kampus suara setan genderuwo muncul jokowi kena bujuk rayu setir ingin masyarakat cerdas ini guru tinggi kritik tumbang,"since the reform era, the haunted wish of the New Order's heirs has begun to look hot, reform, playing it safe, there is a campus, the voice of the devil, Genderuwo, appears, Jokowi is seduced by the steering wheel, this intelligent society wants high-ranking teachers, critics to fall"
jokowi bebas bos merdeka gak jadi tugas partai jongos mak banteng tapi tugas seluruh rakyat indonesia,"Free Jokowi, independent boss, is not the job of the bully's bully party but the task of all Indonesian people"
makin parah rezim dinasti tum partai sandera punya malu ingat mati woy,"the worse the dynasty regime, the hostage party has shame, remember to die, hey"
mahfud md aku lapor soal operasi tekan rektor bilang jokowi baik,mahfud md i report about the operation to pressure the chancellor to say jokowi is good
insyaallah moga cepat cabut lapor nye,"God willing, I hope you can quickly withdraw your report"
narasi nya jadi tumpul bukan nya puja jokowi suka mengitimidasi olah tak pernah salah meski semua atur revisi sesuai ingin jokowi,"The narrative becomes dull, instead of praising Jokowi, he likes to intimidate as if he is never wrong, even though all the revisions are according to Jokowi's wishes."
insha allah anies baswedan muhaimin iskandar jadi presiden wakil presiden moga pak prabowo pak jokowi sehat selalu biar hadir saksi lantik amin jadi presiden indonesia aamiin yra,"God willing, Anies Baswedan and Muhaimin Iskandar will become president and vice president. Hopefully Mr. Prabowo and Mr. Jokowi will always be healthy so that they can be present to witness the inauguration of Amin as president of Indonesia. Amen, yra."
semangat pak jokowi indonesia maju peabowo gubran,"spirit Mr. Jokowi, Indonesia is advancing, Peabowo, Governor"
berita bakal pakai pakdhe buat alas cuti,news will use uncle for leave cover
gmn anak belum sekolahyg alami stunting gizi buruk,What about children who have not yet gone to school who experience stunting and malnutrition?
terima kasih pak antekanteknya buka mata publik demokrasi moga allah senantiasa buka pintu maaf sebesarbesarnya kita semua bangsa indonesia,"Thank you, Mr. Antekantor, for opening the eyes of the public to democracy. May Allah always open the door to forgiveness as wide as possible for all of us Indonesians."
emang bayar hutang negara iya presiden instruksi menteri uang saja sekarang jadi presiden jokowi kalau prabowo pilih jadi presiden yan bayar tetap presiden nama ganti presiddn prabowo,"indeed paying the state debt, yes, the president instructed the minister to just pay the money, now Jokowi is president, if Prabowo chooses to be president, the one who pays will still be the president, the name will change to President Prabowo"
ganjar kutip apa pernah sebut jokowi debat milu harap macam tidak jadi masa dpn bangsa atas derita rakyat prabowo berkuasag heran ko dr awal rocky gemlung emang selalu serang ganjar,"Ganjar quotes what he ever said about Jokowi's debate in the Millu debate, hopefully it won't happen in the future, the nation will suffer because of Prabowo's power, I'm surprised that Rocky Gemlung has always attacked Ganjar from the start"
dulu pasang badan lawan jelek pak jokowi sekarang pak jokowi tinggal entah siapa yang salag terlepasndaripada hati sudah jatuh pak ganajarmahfud,"In the past, Mr. Jokowi's bad opponent's body was put up, now Mr. Jokowi just doesn't know who's wrong, let alone the heart has fallen, Mr. Ganajarmahfud"
absolutisme politik nepotisme kaya orba nepotisme politik jokowi bisa pidana pidana kriminalitas korupsi langgar ham,"political absolutism, nepotism, rich in Jokowi's political nepotism order, can be criminalized, corruption violates human rights"
kok iya pak jokowi pilih orang macam gin sih,How come Mr Jokowi chose someone like Gin?
wah memang menteri pak jokowi banyak korupsi,"Wow, Mr. Jokowi's ministers are indeed full of corruption."
seta kampus eks pimpin kpk ingat jokowi soal standar etika moral,And the campus of the former KPK leader reminded Jokowi about moral ethical standards
teman ahok dulu ramein karna kalo sama djarot pdip kes main sendiri justru nama djarot risma bukan ujug pdip usulin bener adalah opsi jokowi nginderin jadi jokowi yang pdip maju sendiri btp pdip gitu kira jokowi,"Ahok's friend used to be busy because if he was with Djarot, Pdip would be playing alone, the name would be Djarot Risma, not the end of Pdip. The right proposal is that Jokowi's option is to let Jokowi be the Pdip, but Pdip is like that, I think Jokowi"
kpu mk kpk bawaslu udeh ancur krefibilitasnya akhir jabat,KPU MK KPK Bawaslu's credibility has been destroyed since the end of his term of office
bandingin aja sama jokowi lebih politik identitas mana sama jadiin ulama sbg wapres,Just compare Jokowi with more identity politics than making a cleric the vice president
jangan jumawa karena kaya alam tuh liat venezuela,Don't be arrogant because it looks like Venezuela is rich in nature
jangan kasi pa jokowi gak terus,don't give it to Jokowi all the time
jokowi bangga diri forum pamer pilih uud larang presiden berkampanyeowh tidak pipis depan rumah tetangga tidak ada hukum atur lagi otak berfikir normal tindak pantastidak,jokowi is proud of himself forum for showing off his vote for the uud bans the president from campaigning ohh don't pee in front of your neighbor's house there are no laws to regulate your brain to think normally inappropriate behavior no
ingat temen ada rocky gerung jangan pilih capresnnyakarena subjektif kata masa bilang bangsat kutip jokowi pakai ganjardan luhut nyata jangan pilih militer dipecatkalau bilang rocky gerung anjing,remember friend there is Rocky Gerung don't choose the presidential candidate because subjective words say bastard quote Jokowi use Ganjar and Luhut is real don't choose the military fired if you say Rocky Gerung is a dog
restu biasa beri niat lalu izin baru restu contoh pak awal ingin maju lalu mas gibran niat maju kemudian izin beliau beliau restu jadi kalau restu awal arti perintah,"Blessing usually gives intention then permission then permission, for example Mr Gibran initially wanted to move forward, then Mr Gibran intended to move forward then he gave his permission, he gave his blessing, so if it was the initial blessing, the meaning of the order"
mau nyebut nama jokowi aja susah banget sih pak,"It's really difficult to even say Jokowi's name, sir"
lawan politik punya kpentingan statmen sprti ituyg real rakyat kecil kalo ingin priode jokowiwkwkwk,Political opponents have an interest in statements like that which are real for the common people if they want Jokowi's period hahahahaha
tuju banget rakyat biasa lihat jokowi ihhhhhhh tp gimana bisa diam dengan segala tonton kuasa,the common people really want to see Jokowi ihhhhhhh but how can they stay silent with all the power watching
bangun joran smntra ekonomi rakyat abai rakyat cuma nina bobok di bungkam blt amp bansos itu rata tidak angkat dr miskin,"build a fishing rod while the people's economy is ignored, the people just lull themselves to sleep, silenced by BLT and social assistance, on average they don't lift people out of poverty"
pdip taat atur undang undang taat konstitusi,Pdip obeys the law and obeys the constitution
muak gw sama jokowi tai,I'm sick of Jokowi's shit
justru gw milih orang anti sakit hati jokowi,"In fact, I chose someone who is anti-Jokowi's hurt feelings"
begitu sisi asli beringin waris orba era reformasi main cantik meyesatkan tak mau pimpin bangsa lebih maju makanya jokowi sandera segala cara coreng jati diri skenario mirip suharto sukarno beda judul,"So the original side wants to inherit the Order during the reform era, playing pretty, misleading, not wanting to lead a more advanced nation, that's why Jokowi is hostage to all the ways of tarnishing his identity, Suharto Sukarno-like scenario, different title"
karna situasi mungkin malah dulu berita pdip sempet musuh kan sama ahok mas nyata sebenernya pdip emang ken mega sama jokowi sempet debat kencang sebenernya bukan langsung mega sama menteri jokowi hal pratikno wiranto mas,"because of the situation, maybe in the past the news was that PDIP was enemies with Ahok, but in reality PDIP is really close to Mega and Jokowi, they had a heated debate, but it wasn't directly between Mega and Jokowi's ministers, regarding Pratikno Wiranto, bro."
tegak miring jokowi lucu iya bwaang,"Jokowi's upright tilt is funny, bwaang"
gw dong prabowo jokowi kurang goblok apa wkwkwk,"me, Prabowo, Jokowi, am I not stupid enough, hahaha"
menteri begooog mang jokowi ngeluarin duit pribadi jilat ampe segitunya,"Minister Jokowi is stupid, spending so much personal money"
jokowi dong,"Jokowi, please"
milu pilpres paling barbar malu niretik gimana tuh paklurah cecunguk,"the most barbaric presidential election, how embarrassing is that, the village head is a jerk"
ayo awal taukalo perlu beli pake duit kalo soal jual tau ybs,"Come on, let's know first, if you need to buy with money, if it's about selling, you know"
ini generasi jokowi,This is Jokowi's generation
yg marah siapayg buang tuh apapahami betul dehbukan buangtp melemparspt hal jokowi prabowo lempar kaositu contoh bukan marah,"Who's angry, who throws it, do you really understand that's not throwing it, but throwing it, like Jokowi Prabowo's thing about throwing a t-shirt, that's an example of not being angry."
jokowi pernah usung prabowo jadi gub dki sama ahok,Jokowi once nominated Prabowo to be governor of DKI along with Ahok
tahun dukung bapak sejak jadi gubernur dki jakarta sejak kasus mk maaf deh,"years of supporting you since becoming governor of DKI Jakarta since the MK case, sorry"
gue liat bahlil aja dah muaak mau muntah kalau udah ngoceh asli basic banget kalau ngejilat zaman orba aja gak ginix harmoko kok jokowi milih menteri model ini apa negara habis sdm orang pintar etika iya ampun,"I just look at Bahlil and I'm going to vomit when he talks, it's really basic, if you suck at the New Order era, isn't it Ginix Haroko? Why did Jokowi choose this type of minister? Is the country running out of people who are smart in ethics, my goodness?"
jangan purapura buta guna hati nurani otak jangan hancur indonesia,"Don't pretend to be blind, so that your brain's conscience doesn't destroy Indonesia"
serakah dihadang,greedy blocked
benar malah kaya manja biar harap pak jokowi bukan allah ngurangin miskin malah tambah,"It's true that the rich are spoiled, so hopefully Mr Jokowi will not reduce poverty, but instead increase it"
kita raja aja gimana biar ada ribut ginigini gw dukung dah klo gitu biarin prabowo gibran dinasti jokowi jadi keluarga raja tak,"We're just kings, how can there be such a fuss, I support you, if that's the case, let Prabowo Gibran become the king's family."
kalah putar pertama suara mungkin karena anies mungkin temu ahok imin mungkin temu yenny wahid suara pindah eitherway in this derby jokowi wins menang putar,lost the first round of votes maybe because anies maybe to meet ahok imin maybe to meet yenny wahid votes moved either way in this derby jokowi wins wins round
di ingat terus terus baik dg kamis dpn istana lain nya jangan antar langgar ham nr etika istana,"always remember to be good with Thursday in front of other palaces, don't let them violate human rights and palace ethics"
si samsul memang gak ngerti iya posisi diri selalu kan terus apa iya mau nyabot posisi presiden dasar kel sabot jaga demikrasi tunjuk jokowi kita naik kelas,"Samsul really doesn't understand his position, right? So what does he want to do to snatch the position of president? You're a bastard of sabotage to protect democracy. Appoint Jokowi, we'll be promoted to class."
kampanye tuh kayak bang ara gin adem jelekin paslon klo paslon negara api capresnya cawapresnya tum partai semua jamaah jelekin prabowo gibran sekarang tambah si mantan napi ahok jelekin pak jokowi gibran miris lihat ahok skrg,"The campaign is like Bang Ara, Gin, Adem, badmouthing the candidate pair, if the candidate for the Fire Country is the presidential candidate, the vice-presidential candidate is the party, all the congregation is badmouthing Prabowo Gibran, now the ex-convict Ahok is badmouthing Pak Jokowi, Gibran is sad to see Ahok now"
closing statement pak ganjar pilih pimpin tegak lurus pak jokowi yang sampai debat capres,"Closing statement Mr Ganjar chose to lead uprightly, Mr Jokowi, who made it to the presidential debate"
harmokonya jaman soeharto sekarang jaman jokowi si bahlil,"Harmonization in the Soeharto era, now in the Jokowi era, Bahlil"
dlu milu allah selamat indo dg jokowi sbg presiden moga allah selamat indo dg pa anies aamiin,"First of all, God bless Indonesia with Jokowi as president. May God bless Indonesia with Pa Anies, amen."
takut tanyain wartawan beh closing statemen pa ganjar kutip kata jokowi debat pilpres jadi kabur,"I'm afraid to ask journalists, beh Pa's closing statement, Ganjar quotes Jokowi's words, the presidential election debate has become blurry"
emang mau rg ikut baris jokowi rg orang waras jaga demokrasi bukan jilat,"RG really wants to follow Jokowi's line, RG is a sane person to protect democracy, not a sycophant"
kalau kalian gimana nih pak jokowi benarbenar hadir gbk ikan dapat kolom komentar,"What do you think about this, Mr Jokowi is really here, GBK fish can get a comment column"
sangat dapat bro grombolan orang sakit hati tidak dukung jokowiseumpama kalau jokowi dukung ganjar mereka jadi puja jokowi,"very possible bro, a group of people who are hurt don't support Jokowi, for example if Jokowi supports Ganjar, they will worship Jokowi"
jokowi nilai kartu as optimal menang prabowogibran pilpres,Jokowi's optimal ace value wins Prabowogibran's presidential election
kampanye akbar pasang calon paslon nomor urut prabowogibran hari akhir masa kampanye februari datang gelora bung karno gbk kabar hadir presiden joko widodo jokowi,grand campaign to install candidates for candidate pair with serial number prabowogibran final day of campaign period february comes boom bung karno gbk news of president joko widodo jokowi's presence
kek mana malu iya hampir seluruh civitas akademika kritisi blundernya orang logika gak tuju tingkah polah jokowi para cengkuroknya,"How can you be ashamed? Almost the entire academic community is critical of the blunders of people who have no logic, the behavior of Jokowi and his cengkurok"
gilir eks pimpin kpk ingat jokowi usai akademisi minta pegang teguh standar moral etika lewat,former KPK leader recalls Jokowi after academics ask him to uphold ethical moral standards
prabowo representasi jokowi periode ambisi kuasa,Prabowo represents Jokowi's period of ambition for power
biar tahu rasa jokowi,so you know how jokowi feels
untuk pasang prabowo gibran menang gausah jabat jaman jokowi sangat bahaya demokrasi,"to install prabowo gibran to win, no need to hold office, Jokowi's era is very dangerous for democracy"
pk jokowi ngomong lo,Mr. Jokowi said you
pak begitu kenal generasi kampus sedikit tidak jasa pak situ saat beliau tak pernah mengungkitungkit kata di mimbar mana jasa bpk jokowi,"Sir, you know the campus generation a little, but you have no services, sir, when he never mentioned the words on the podium, where is Mr. Jokowi's service?"
sm jokowi gibran injak injak demokrasi jadi tuli amp keras hati atas kritik rakyat abai rambu analitis amp etis proyek megah nasional terus bodoh rakyat aman kuasa rampas uang amp hak warga negara makin arogan kuasa,with jokowi gibran trampling on democracy becoming deaf and hard-hearted to people's criticism ignoring analytical and ethical signs of a magnificent national project continuing to be stupid the people are safe in power seizing money and citizens' rights increasingly arrogant in power
berani kau bilang bangsat rocky gerungkau pantas sebut anjing anjingkenapa ayo berdebatjd jokowi tidak kau bilang bangsatitu kutip ganjar dr debat jokowi prabowopro sby angkat kan munafikun,"you dare call Rocky Gerung a bastard, you deserve to be called a dog, why let's debate, so you don't call Jokowi a bastard, quote Ganjar from the debate, Jokowi, Prabowo, Pro, SBY, raise him, you're a hypocrite"
gan ganjar cuma nyata sikap jokowi mengingatkanini dl dl jokowi bilangkita konsiten jokowi ubang,"Ganjar, it's just real that Jokowi's attitude reminds us that Jokowi said we are consistent, Jokowi, bro"
kalau yakin menang masih minta gendong sama jokowi zon,"If you're sure you'll win, you'll still ask Jokowi Zon to carry him"
pilih hadap gugat adil tiada henti persis kasus ijazah palsu energi akan habis untuk adagium jahat ada sempurna,choose to face a fair and never-ending lawsuit in cases of fake diplomas. Energy will run out for evil adages to be perfect
soal gerombolanya lama main skenario selalu patah sisi angker beringin nampak setan amp genderuwo panas makanya goda setir jokowi main tabrak sumoah janji tanoa malu malu segala sda amp sdm negara kerah,"about the gang, it takes a long time to play scenarios, always broken, the side is haunted, wants to see the devil, Genderuwo is hot, that's why Jokowi's steering wheel is teased, he plays hit and hit, Sumoah promises, Tanoa, Shame, Shame, everything, SDA, and SDA, collar country"
si fahri lulus universitas apamana iya kalimat postingannya mlecehkan civitasdosen guru tinggi para civitasdosen buat petisimosi prcaya jokowi woy buka mata jelas jokowi main politik dinasti pilpres thn tp koq mata buta,"Fahri graduated from any university, yes, the sentence in his post is insulting the academic community, lecturers, high school teachers, making a petition for a vote of confidence in Jokowi, wow, open your eyes, it's clear that Jokowi is playing dynastic politics in the presidential election this year, but how come his eyes are blind?"
silah kalo berani rakyat kecil belakang pak jokowi,please if you dare the common people behind Mr Jokowi
jokowi kontoooool,jokowi is stupid
hahahaha usah sok suci manusia banyak dosa siapa rendah pak jokowi iya bakal counter,"hahahaha don't act holy, humans have many sins, whoever is lowly Mr Jokowi, yes I will counter"
ganjar sebut nyata sampai jokowi debat capres tahun silam itu ganjar rupa salah satu tim kampanye jokowitagjokowi ganjar anies final stage prabowo all in ketua kpu australia laen milu milu,Ganjar said it was real until Jokowi's presidential candidate debate last year rewarded the appearance of one of Jokowitagjokowi's campaign team rewarded Anies final stage Prabowo all in Australian KPU chairman Laen Milu Milu
bahlil lupa kalikalo dulu paling gerak tuh mahasiswa demo jokowiguru besar amp dosen ada ikutanbeda ama sekarangjustru turun nyata sikapini sama pandang atas apa yang anggap kritis,"I forgot that in the past, students were the ones who were most active in the Jokowi demonstration, big teachers and lecturers were also different, but now this attitude has actually decreased with views on what is considered critical."
analisa intelijen rezim jokowi poros beijing tidak heran agenda one belt one road china komunis tetap jalan mendesign tim nya ps amp gibran maju menang pilpres,"intelligence analysis of the Jokowi regime, the Beijing axis, it is no wonder that the communist China One Belt One Road agenda continues to run, designing its team, PS and Gibran, to win the presidential election"
bhuhahhahaha si langkah catur tantrum wkkwkqkowkwkw,bhuhahhahaha the chess move tantrum wkkwkqkowkwkw
arti masuk nyinggung jokowi dong jokowi di usung prabowo jadi gub dki sama wakil ahok,The meaning of entering is to offend Jokowi. Jokowi is encouraged by Prabowo to become governor of DKI with Ahok's deputy.
padahal jokowi kerja ikhlas rakyat kok di fitnah ubah atur mk dinasty lemah kpk politisasi bansos tambah hutang negara bisnis rakyat pdahal beliau orang paling ikhlas negara rakyat indonesia emang aneh,"Even though Jokowi works sincerely for the people, why is he being slandered for changing the Constitutional Court regulations, the dynasty is weak, the KPK politicizes social assistance, increases the country's debt, people's business, even though he is the most sincere person in the country, the people of Indonesia, it's really strange"
jokowi gagal ikan sempat terus baik betul aja anak salah satu calon terus,"Jokowi failed, the fish was still good, the child of one of the candidates continued"
kan mantan anak emas jadi kalian menjikkan keluatga,You're the former golden child so you disgust the family
aku suka pak libas capres no no pro luar negri us israel jangan takut tni sama aman negara lanjut programprogram pak jokowi makmur rakyat untuk buat negara indonesia maju ucap terimaksih,"I like it, Mr. Libas, the presidential candidate, no pro foreign countries, US, Israel, don't be afraid, the TNI is the same, the country is safe, continue with Mr. Jokowi's programs, prosper the people, to make Indonesia a developed country, thank you."
udah yah pak jokowi terhomat bansosnya jngn buat kampanyekasian rakyat terima bansos jadi terima akhir inijngn jadi penghianat,"That's it, respected Mr. Jokowi, don't campaign for social assistance so that people will receive social assistance, so receive it at the end, don't be a traitor"
terus apa mau lo terus kerja jokowi wo,"then what do you want to do, keep working, Jokowi, wo"
susul sama ketua kpu tuh paman lu moga masuk penjara dah keluarga situ orangcurang dzalim,"Follow up with the chairman of the KPU, your uncle, I hope you go to prison, your family is an unjust cheater"
aku makasih kalo om palti hutabarat om di proses,"I would like to thank you if you process it, uncle Palti Hutabarat"
pilih jokowi,choose jokowi
orang sombong beri juluk orang kata hina asbak lah dulu cinta jokowi kedok bongkar jokowi dukung ganjar sekarang kamu jadi benci jokowikami rakyat indonesia puas dengan jokowi tetap dukung jokowi,"arrogant people give people nicknames, insulting words, ashtrays, used to love Jokowi, disguise, expose Jokowi, support Ganjar, now you hate Jokowi, we Indonesian people are satisfied with Jokowi, still support Jokowi"
pilih proses cacat nepotist dinastic tidk pilih karena partai paling bertanggungjawab telah bentang karpet merah politik dinasti dn nepotist jokowi gibran bobby adlh produk dr pdip partai wajib hukum,choose the flawed process nepotist dynasty do not choose because the most responsible party has rolled out the red carpet of dynasty politics and nepotism jokowi gibran bobby is a product of pdip party mandatory law
mau menang putar kalau masuk putar dua bisa pasti kalahmastermind chess strategist kali tetap tangan bapak jokowi bapak jokowi tanam saham paslon paslon anak paslon di pdip lahir beliau,want to win a round if you enter a round two you will definitely losemastermind chess strategist this time keep your hand Mr. Jokowi Mr. Jokowi invests shares candidate pair candidate pair child candidate pair in PDIP born him
gibran paksa bowo neo orba jadi cawapresnya rusak dukung jokowi pdip rakyat cerdas tak mau pilih khianat langgar etika curang,"Gibran forced Bowo Neo Orba to be his vice presidential candidate, it was damaged, supporting Jokowi PDIP, smart people don't want to choose traitors, violating ethics, cheating"
sekarang pak jadi musuh utama mantan dukung setia moga akhir jabat pak jokowi bahagia teman dg sandramu dukung penuh hanya pura,"Now sir, you are the main enemy of your ex, loyal support, hopefully the end of Mr. Jokowi's term will be happy, friends with Sandramu, full support, just pretending"
ingat dulu waktu kampanye jokowi pernah bilang gak kenal blt ingat gak junjung lil,"Remember when Jokowi was campaigning, he said he didn't know BLT, remember he didn't uphold Lil"
suka dengan kata kalah prabowogibran ajar pas jokowi para calon pimpin luar sana tetap ada jalan benar tidak serakah,"Prabowogibran likes the word defeat, teaches Pas Jokowi to the leadership candidates out there, there is still the right way, don't be greedy"
nyata bodoh sekian kali dr sbg jubir keluarga jokowiyg soal bkn bansosnya momen distribusi bareng data amp jadwal jelas shg indikasi bhw bagi bansos ada tendensi politikmenteri jgn bodoh bayar pajak,"real stupid several times from as a spokesperson for the Jokowi family regarding the social assistance, not the distribution moment with clear data and schedule, so it is an indication that there is a tendency for political ministers to not be stupid in paying taxes"
si samsul sperti anak ayam,Samsul is like a chick
maksud si sales esemka aka raja ngibul undang jadi bintang tamu yakk,"What do you mean by the salesman, Esemka, aka Raja, asking to be a guest star?"
jenderal penjilatdulu pak jokowi lawan pak prabowo bilang prabowo libat culi tidak layak jadi presiden sekarang malah dukung muji,"Former sycophantic general Pak Jokowi opposed Pak Prabowo saying that Prabowo involved a kidnapper and was not worthy of being president, but now he supports Muji"
simpul bansos gak hilang walaupun kalah dn jokowi kuasa lagitetap malah plussemua paslon nawarin di visi misi nya jadi jangan tkutin rakyat iya kalo kalah gak ad bansosnya,"The social assistance node doesn't disappear even if you lose and Jokowi is in power again, he still adds, all the candidate pairs offer in their vision and mission, so don't worry about the people, yes, if you lose, there will be no social assistance."
demokrat justru rapat jokowi capres representasi jokowi,"Democrats actually meet Jokowi, presidential candidate representing Jokowi"
sadar gak sih,do you realize or not
partai belian jokowi,jokowi's purchase party
loe harus udah nyadar kalo rakyat kecil pro apa kalo jokowi priode akan tetap pilih jokowid mata rakyat kecil apa salah jokowi becus kerja iya oknum kabinet contoh sprti anies jadi mendikbud tidak becus,"You should have realized that if the common people are pro Jokowi, will they still choose Jokowi? In the eyes of the common people, what is wrong with Jokowi being good at his job? Yes, cabinet figures, for example, Anies, who became Minister of Education and Culture, are incompetent."
kayak gin bisa mbagi ngaku mbagi,It's like gin can admit to sharing
narasi sesat ahok orang heroik bukan arti jokowi minta mundur ahok dengan rela guna hak lawan penting ahok jadi komisaris utama pertamina jokowi ahok aku,"Ahok's false narrative is that he is a heroic person, which is not the meaning of Jokowi's request to resign. Ahok is willing to use the rights of Ahok's important opponent to become the main commissioner of Pertamina. Jokowi Ahok I"
kasi diri saking men tuhan kan jokowi apa anggap benar kalau sangkut keluarga jokowi cuci isi hati bisa lihat benar benar kata benar salah kata salah,"self-pity because of being so god-fearing, right, Jokowi, what do you think is right if it concerns Jokowi's family, wash your heart, you can see that it's true, the words are right, wrong, the words are wrong"
erik erik loe nya jadi jilat jokowi bumn mana untung kasih tau rakyat usaha milik negara bukan milik nenek moyang mu,"Erik Erik, you're just licking Jokowi's BUMN, where's the profit? Tell the people that state-owned enterprises don't belong to your ancestors."
farah kau jabat jd alat,Farah you shake it and become a tool
pak dengar suara kampus suara rakyat,"Sir, listen to the voice of the campus, the voice of the people"
sifat asli beringin angker waris orba nampak setan amp genderuwo panas sejak era reformasi main aman makan kekeh tenggelam pdipsekenario drama patah jokowi sesat bawah makanya gila setir mahluk kutuk,"The real nature of the haunted banyan, the heir to the New Order, looks like a demon & genderuwo has been hot since the reform era, playing it safe, eating snickering, drowning pdip, broken drama scenario, Jokowi has gone astray, that's why he's crazy, driving a cursed creature"
nyata slama dia dukung partai bukan jokowi klo dinasti partai yes dinasti jokowi no,real as long as he supports the party not Jokowi if it's a party dynasty yes Jokowi dynasty no
cara baik makzul jokowi jangan pilih anak demikian outomatis mata rantai dinasti coba bangun layu kembang,"The best way to impeach Jokowi is not to choose such a child automatically as a link in the chain of dynasty, try to wake up wilting flowers"
alas klasik prabowo dukung milu skenario konspirasi antek asing goblok ndasmukapan kalian mau berubahdan dukung jokowi sekarang dukung prabowo kalian masuk lubang sama,classic base prabowo supports milu conspiracy scenario stupid foreign lackey ndasmuwhen will you change and support jokowi now support prabowo you are falling into the same hole
loh kalian awal liat jokowi orang baik be fr,"You see, at first, Jokowi is a good person, be fr"
rocky dl jokowi bgtbcrnya kasih ksmpatan naikdr sipilna sekarang tau pemerintaan negaranyasmpai kelauar macam mcam kritikanitu arti ucpanya dan tebakanya sllu bnrpenting anis yes,"Rocky in Jokowi's speech really gave him the opportunity to rise from civil servant to now know the government of his country until he came out with all kinds of criticism, that's what his words mean and his guesses are always important, Anis, yes"
jangan kasih kendor pakgas pol dinasti new orde baru,Don't give the New Order dynasty police force any slack
rokcy gerung anjingknp tuju jokowi wadas proyek wadas proyek perintah pusat anjing kau rocky,rokcy gerung dogwhy go to jokowi wadas project wadas project central command dog you rocky
jgn kaya gt dong tidak tau depan nya gimana jgn pasti yang blum bukan ranah sbg manusia prabowo dukung jokowi aja tahun yll mana pikir pkb jadi bareng pks aja dulu mana pikir semua mungkin iya mungkin aja,"Don't be like that, don't know what the future holds, don't be sure, it's not in the realm of Prabowo as a human being, just support Jokowi next year, if you think about PKB, just be together with PKS first, if you think everything is possible, yes, it's possible."
jgn ngaku ahoker lw plintut plintit,Don't claim to be a religious fan if you're being too sloppy
dulu pilih jokowi kalian bisa cengar cengir ini kami tidak rasa manfaat apa baik elektoral ekonomi langsung maju terus silent majority,"Previously, if you chose Jokowi, you could grin, we don't think there are any benefits, whether it's electoral or economic, it will continue to advance, the silent majority"
pak cuek,Mr. Indifferent
kacau kau tambah bejad moral kau masuk kubu,"You're messed up, you're getting more morally corrupt, you're entering the camp"
mau nyebokin bersih apa nama paslon karbitan bkal bagussjelas bansos dibagiin pinggir jalan org naik motor gaji jt ambil emg pak jokowi tau logika lah fakta kok putar lucu,"want to make it clean, what is the name of the Karbitan candidate pair, it's good, it's clear that social assistance is distributed on the side of the road, people on motorbikes get paid just to take it, Mr. Jokowi knows logic, it's a fact, why is it so funny?"
